,State,state_num
0,Alabama,1
1,Alaska,2
2,Arizona,3
3,Arkansas,4
4,California,5
5,Colorado,6
6,Connecticut,7
7,Delaware,8
8,District of Columbia,9
9,Florida,10
10,Georgia,11
11,Hawaii,12
12,Idaho,13
13,Illinois,14
14,Indiana,15
15,Iowa,16
16,Kansas,17
17,Kentucky,18
18,Louisiana,19
19,Maine,20
20,Maryland,21
21,Massachusetts,22
22,Michigan,23
23,Minnesota,24
24,Mississippi,25
25,Missouri,26
26,Montana,27
27,Nebraska,28
28,Nevada,29
29,New Hampshire,30
30,New Jersey,31
31,New Mexico,32
32,New York,33
33,North Carolina,34
34,North Dakota,35
35,Ohio,36
36,Oklahoma,37
37,Oregon,38
38,Pennsylvania,39
39,Rhode Island,40
40,South Carolina,41
41,South Dakota,42
42,Tennessee,43
43,Texas,44
44,Utah,45
45,Vermont,46
46,Virginia,47
47,Washington,48
48,West Virginia,49
49,Wisconsin,50
50,Wyoming,51
